,WSM,TOPSIS,VIKOR,Average
1570,0.5826,0.1278,0.474,0.43025853158304717
1571,0.6347,0.1977,0.2836,0.3640176987455418
1572,0.635,0.1808,0.3655,0.3965434616785404
1573,0.6407,0.1387,0.4502,0.43498347669767873
1574,0.591,0.1408,0.4842,0.439349988050529
1575,0.6227,0.1327,0.5812,0.5017275804657344
1576,0.6668,0.1779,0.4795,0.46192975223512067
1577,0.6702,0.1699,0.3567,0.4026299243722454
1578,0.4777,0.1016,0.625,0.4940128803988819
1579,0.5843,0.1382,0.4955,0.44358899332602925
1580,0.6297,0.1422,0.436,0.4247571894624033
1581,0.4605,0.0844,0.6558,0.5094957095010713
1582,0.5899,0.1294,0.5441,0.47184967415480966
1583,0.7051,0.2092,0.3591,0.42076002543017316
1584,0.6251,0.1746,0.4374,0.42773231114798893
1585,0.7061,0.2849,0.1206,0.36240588433412607
1586,0.6732,0.1546,0.4221,0.43231261952434374
1587,0.6349,0.1433,0.4449,0.43098500437950277
1588,0.5369,0.1051,0.5922,0.4861240016703557
1589,0.6004,0.1232,0.4889,0.44290078911647923
1590,0.6664,0.2133,0.2805,0.3765726808997169
1591,0.6791,0.2021,0.2494,0.36822393322542196
1592,0.6441,0.1375,0.5551,0.49265895099957335
1593,0.7178,0.2113,0.3489,0.421078709981875
1594,0.5496,0.1271,0.5816,0.4841359674719489
1595,0.6796,0.1449,0.4285,0.43643574555712095
1596,0.5194,0.1093,0.6054,0.49070744746742945
1597,0.5297,0.1201,0.6136,0.4986943963992377
1598,0.5045,0.1668,0.4607,0.40666075173294014
1599,0.6973,0.1681,0.3374,0.4032891282938334
1600,0.5555,0.1343,0.4631,0.41756173435792704
1601,0.6971,0.1801,0.256,0.37374922742395067
1602,0.5379,0.1051,0.589,0.4843981678330338
1603,0.5311,0.1198,0.62,0.5029105825094556
1604,0.7723,0.2271,0.2485,0.40698637077916994
1605,0.7571,0.2942,0.0683,0.37807224045147775
1606,0.6664,0.1797,0.3059,0.38117295811744045
1607,0.6618,0.1413,0.4438,0.4382519537891417
1608,0.5265,0.1179,0.618,0.5005722455350476
1609,0.7876,0.2747,0.0531,0.38485137910627265
1610,0.6508,0.1659,0.3406,0.3885474887320725
1611,0.3847,0.1415,0.8424,0.6248394777860952
1612,0.7431,0.2257,0.2852,0.4079107610740369
1613,0.4735,0.1177,0.573,0.46169355312804616
1614,0.6721,0.1565,0.3721,0.4085591291355512
1615,0.5692,0.1397,0.4429,0.41077093373314527
1616,0.618,0.1261,0.5691,0.4930441846325743
1617,0.3286,0.0791,0.9429,0.6841073307603127
1618,0.6352,0.1748,0.3799,0.4025224527899034
1619,0.6281,0.1277,0.5581,0.48941997711576923
1620,0.4669,0.1137,0.6502,0.5087803543770141
1621,0.7113,0.2584,0.1121,0.35707689788055463
1622,0.6193,0.1616,0.3971,0.404209192127047
1623,0.748,0.2565,0.1491,0.37782784439477196
1624,0.6109,0.1338,0.5619,0.487725639063603
1625,0.5816,0.1685,0.3831,0.3867197848572012
1626,0.5981,0.1399,0.4576,0.42674958113629125
1627,0.6558,0.1396,0.5527,0.494570339790004
1628,0.3617,0.2236,0.835,0.6243212041889976
1629,0.6377,0.1783,0.2907,0.3648599320287171
1630,0.6517,0.1715,0.3644,0.4001998663168192
1631,0.5059,0.1416,0.4814,0.4160229681159443
1632,0.4298,0.1524,0.6758,0.5217912954429194
1633,0.6004,0.1397,0.5624,0.4858988979201332
1634,0.6371,0.1367,0.539,0.4817113752030359
1635,0.6963,0.1587,0.3549,0.40926696666112694
1636,0.6548,0.174,0.5043,0.4711630853536809
1637,0.447,0.0831,0.6697,0.5160257047861084
1638,0.6605,0.1433,0.4129,0.42267685292667734
1639,0.4563,0.2297,0.667,0.5290700000945054
1640,0.4958,0.2427,0.4461,0.4078444801637016
1641,0.6452,0.135,0.5424,0.4856160911666746
1642,0.6327,0.1646,0.3897,0.4051207856923661
1643,0.6526,0.169,0.3282,0.3841917125602789
1644,0.7156,0.2263,0.2437,0.38402477003443414
1645,0.6207,0.1315,0.5492,0.4827542780752958
1646,0.5406,0.1164,0.4971,0.4313566563761361
1647,0.5384,0.1173,0.6326,0.5120489029379909
1648,0.5989,0.1436,0.452,0.42435189406906154
1649,0.5344,0.1066,0.6055,0.49380245544144474
1650,0.6272,0.1636,0.3902,0.40352630149718866
1651,0.3651,0.2023,0.7446,0.5622737491649419
1652,0.5947,0.284,0.1781,0.33285165314295795
1653,0.2793,0.0538,0.8696,0.6281497512536323
1654,0.6995,0.2165,0.223,0.36984621804203976
1655,0.622,0.1574,0.398,0.4049829971739555
1656,0.5376,0.1138,0.5331,0.45142628301861204
1657,0.6933,0.2038,0.3692,0.420413641548416
1658,0.5154,0.1016,0.5752,0.4707990229386633
1659,0.4229,0.0782,0.688,0.5237131409464536
1660,0.5843,0.1371,0.4319,0.40888754688789436
1661,0.5888,0.1276,0.5832,0.49424966970145773
1662,0.5718,0.141,0.4606,0.4212262195068109
1663,0.5427,0.1154,0.6202,0.5051968190715377
1664,0.5285,0.1001,0.6341,0.5098135521933485
1665,0.4668,0.0948,0.6994,0.5393113571954516
1666,0.531,0.1204,0.6093,0.4963509776357854
1667,0.5816,0.1396,0.526,0.46025662406965967
1668,0.5938,0.1429,0.4593,0.42675995126065897
1669,0.3126,0.061,0.9482,0.6857125286882252
1670,0.5919,0.1385,0.5987,0.5050194471503053
1671,0.6025,0.1466,0.5687,0.4906715428879078
1672,0.6129,0.1385,0.5156,0.4623912163958135
1673,0.5132,0.234,0.5321,0.4589845890659075
1674,0.5418,0.1141,0.6442,0.5197229175243285
1675,0.6666,0.1462,0.4061,0.42159465010837127
1676,0.4649,0.1074,0.6429,0.5033359067263133
1677,0.4924,0.1066,0.6137,0.4901167871028292
1678,0.5412,0.102,0.612,0.4989716304560811
1679,0.6433,0.1339,0.5565,0.4929420513610094
1680,0.6446,0.1419,0.4667,0.44502467347328056
1681,0.5303,0.1209,0.6077,0.49525579855262675
1682,0.6473,0.1376,0.4549,0.43925686221162213
1683,0.6463,0.161,0.3446,0.3881901827712803
1684,0.6455,0.1541,0.364,0.3958612042117792
1685,0.6215,0.142,0.437,0.4228311128571312
1686,0.5992,0.1468,0.4508,0.4241267735005655
1687,0.6175,0.1243,0.5726,0.49480478675938455
1688,0.5972,0.1354,0.5473,0.4760232777921685
1689,0.6466,0.1443,0.5114,0.469712719648936
1690,0.6142,0.1481,0.5614,0.48950320836537936
1691,0.645,0.1876,0.2958,0.37082603468472924
1692,0.3912,0.0803,0.7397,0.5532810858867308
1693,0.607,0.1441,0.484,0.44390003717053234
1694,0.5278,0.1201,0.6348,0.5113973904900181
1695,0.603,0.1658,0.4812,0.4435599305618126
1696,0.6295,0.1336,0.5287,0.4736777206075877
1697,0.5065,0.1196,0.5481,0.45365901622253696
1698,0.6098,0.1312,0.4433,0.42165469877614314
1699,0.6194,0.1335,0.5826,0.5017861367156331
1700,0.6765,0.2118,0.3032,0.38852714448285336
1701,0.633,0.1293,0.5686,0.49679606177988167
1702,0.627,0.134,0.5757,0.4997277708913124
1703,0.659,0.1603,0.3518,0.39553337027360913
1704,0.5271,0.1309,0.5292,0.44803308471585
1705,0.4984,0.1077,0.6787,0.5324257168845247
1706,0.5258,0.1081,0.5848,0.47936867961935103
1707,0.5426,0.1679,0.491,0.4334519292839749
1708,0.653,0.1376,0.5514,0.4929329650165426
1709,0.6513,0.1485,0.411,0.41942164107256075
1710,0.3695,0.0749,0.7329,0.5454908413529965
1711,0.4272,0.1046,0.6337,0.4904795214889201
1712,0.5859,0.1364,0.5831,0.49420649024471536
1713,0.541,0.1166,0.5343,0.4531590372043792
1714,0.3931,0.0985,0.7343,0.5508306836043178
1715,0.6918,0.205,0.3217,0.40008798157405323
1716,0.6476,0.1349,0.5512,0.49116929362491707
1717,0.322,0.0701,0.9052,0.6571944331778838
1718,0.3345,0.1496,0.8125,0.599308120252012
1719,0.6415,0.1506,0.4131,0.4176534005607999
1720,0.6257,0.1279,0.5704,0.4958686328051009
1721,0.5532,0.1286,0.5851,0.4871739330054513
1722,0.5223,0.1004,0.559,0.46241107901952355
1723,0.6534,0.1503,0.4372,0.43328427042762585
1724,0.5738,0.1178,0.5701,0.48220259746293365
1725,0.4932,0.0999,0.619,0.49317720040569596
1726,0.6529,0.1521,0.5252,0.4797014957241639
1727,0.4925,0.1108,0.6983,0.5440640467812591
1728,0.5629,0.1313,0.4526,0.41348103825931365
1729,0.7186,0.2057,0.2178,0.3737503966553079
1730,0.6769,0.19,0.3136,0.38941135319864517
1731,0.5355,0.2551,0.5465,0.4756111626108033
1732,0.3455,0.102,0.8473,0.6212518772607452
1733,0.5159,0.104,0.5806,0.4743664638230658
1734,0.6098,0.1568,0.5611,0.4890436432466943
1735,0.6677,0.143,0.4035,0.42036351292660973
1736,0.5093,0.1207,0.5474,0.4539506856476813
1737,0.6488,0.1614,0.4628,0.4462008471529385
1738,0.5553,0.142,0.4258,0.3979618549559744
1739,0.6665,0.1514,0.3988,0.4186188696176989
1740,0.6434,0.1393,0.5259,0.47633965192916705
1741,0.6151,0.1226,0.5842,0.5008229727159089
1742,0.5783,0.1228,0.6135,0.5095107996892706
1743,0.6427,0.2284,0.2789,0.3703447461487742
1744,0.3858,0.1262,0.7084,0.5342860095491927
1745,0.4936,0.1328,0.6536,0.5173155941975845
1746,0.7044,0.1557,0.3569,0.412549904860006
1747,0.6853,0.1668,0.3225,0.39278112861999875
1748,0.5707,0.1353,0.5748,0.4856223275344741
1749,0.6024,0.1337,0.4872,0.44342054417899945
1750,0.7373,0.2206,0.267,0.3987054877976976
1751,0.4841,0.1029,0.5997,0.47944460576796566
1752,0.3278,0.0722,0.7789,0.571311670631714
1753,0.5185,0.1011,0.6528,0.5195274131362079
1754,0.6806,0.1532,0.3809,0.4150021072235658
1755,0.3733,0.0759,0.84,0.6183840400592499
1756,0.6659,0.1388,0.4917,0.46405671959362904
1757,0.6128,0.1351,0.4851,0.4452430527251379
1758,0.5141,0.0969,0.6427,0.5120627793542507
1759,0.5463,0.1061,0.6409,0.5181141823961201
1760,0.6488,0.1451,0.4143,0.41991277189435433
1761,0.5377,0.1262,0.5313,0.45137792923447195
1762,0.6511,0.149,0.3836,0.4062277957008851
1763,0.6028,0.1324,0.5074,0.454598587767274
1764,0.6832,0.1931,0.2247,0.36025515402281205
1765,0.744,0.2432,0.1199,0.36829210825104575
1766,0.6575,0.1369,0.503,0.4675342051657825
1767,0.6734,0.189,0.2535,0.36543253412907833
1768,0.4849,0.083,0.6719,0.5242300134482955
1769,0.6258,0.1549,0.4518,0.43311078374937745
1770,0.5389,0.131,0.5104,0.4398693237769599
1771,0.6227,0.141,0.4541,0.43199393861488383
1772,0.439,0.0807,0.6886,0.5268613925882214
1773,0.6226,0.1357,0.5313,0.4734874274994004
1774,0.4917,0.0895,0.6248,0.49592779010658394
1775,0.6705,0.1695,0.3942,0.4197975047567577
1776,0.6416,0.1381,0.4609,0.440756168419683
1777,0.5944,0.1432,0.448,0.4209110879984038
1778,0.527,0.1119,0.6181,0.5003259817359078
1779,0.6615,0.1595,0.3683,0.4036966311476973
1780,0.7104,0.1993,0.3608,0.4218270960950707
1781,0.4714,0.0922,0.6446,0.5047260880913528
1782,0.6159,0.1442,0.5355,0.47485237600753355
1783,0.7403,0.2175,0.2751,0.4020456416876074
1784,0.5559,0.1228,0.4932,0.43353435158012565
1785,0.6153,0.1311,0.5861,0.5026246969658374
1786,0.6548,0.1403,0.4309,0.42952909098220576
1787,0.7093,0.1826,0.3723,0.42417893747804125
1788,0.607,0.1339,0.5314,0.4693202989430566
