,WSM,TOPSIS,VIKOR,Average
108,0.3619,0.0657,0.7578,0.238368808781686
109,0.4505,0.1403,0.6745,0.31538928643820485
110,0.6128,0.1284,0.5053,0.449905302258153
111,0.55,0.1301,0.5235,0.42320672017348687
112,0.5852,0.1295,0.4923,0.44989168474200547
113,0.6466,0.1831,0.2611,0.6055267128707039
114,0.6658,0.1494,0.3966,0.5266875886139714
115,0.6306,0.1331,0.5209,0.4467822288318997
116,0.6166,0.1421,0.4678,0.4729854701785246
117,0.6212,0.1262,0.5755,0.4147962692696259
118,0.5395,0.111,0.5717,0.3919550930910326
119,0.536,0.1226,0.5917,0.38121237256941176
120,0.6493,0.1362,0.5371,0.44387096661079334
121,0.6893,0.2007,0.218,0.6425519784422113
122,0.5136,0.098,0.6249,0.3549481610038288
123,0.6045,0.1343,0.5926,0.40184869913936516
124,0.6489,0.1515,0.4118,0.5138964263351128
125,0.4667,0.112,0.7095,0.29919910260560606
126,0.6118,0.1438,0.4554,0.47891331157110256
127,0.4729,0.3874,0.6632,0.3827108961082765
128,0.5007,0.1059,0.6694,0.3288658100198317
129,0.3817,0.0703,0.7735,0.23721873872019472
130,0.6235,0.149,0.5459,0.43302904636987116
131,0.5371,0.1045,0.5472,0.4043331262709005
132,0.673,0.2017,0.2425,0.6242545890900603
133,0.7158,0.1712,0.2918,0.6016979142393631
134,0.575,0.6514,0.5423,0.5460459989781081
135,0.6005,0.146,0.5371,0.430874755584497
136,0.5653,0.1123,0.6,0.38431263965682944
137,0.6225,0.142,0.435,0.4931155544089032
138,0.4143,0.089,0.7441,0.26352913121702504
139,0.6691,0.2068,0.2556,0.615982559818052
140,0.6157,0.1241,0.5345,0.43449127263962395
141,0.585,0.1394,0.5037,0.4443327053008815
142,0.5447,0.1118,0.5999,0.3783244573114458
143,0.6512,0.1327,0.5389,0.4431722915526195
144,0.6752,0.1595,0.4164,0.5187538558892839
145,0.4043,0.091,0.7548,0.25541636204440776
146,0.6916,0.177,0.3603,0.5564789816336283
147,0.4346,0.0733,0.6882,0.29664274641393135
148,0.5743,0.1285,0.5998,0.3885843447695751
149,0.5194,0.1184,0.6726,0.3342995961708599
150,0.638,0.1732,0.3476,0.5506552024633927
151,0.7351,0.2285,0.193,0.6703451178311064
152,0.5638,0.1309,0.6275,0.37160820227761393
153,0.5831,0.131,0.5477,0.41885208248258715
154,0.6579,0.1851,0.2855,0.5933803249181759
155,0.5954,0.157,0.445,0.481982812971583
156,0.6569,0.1985,0.3031,0.5839169478615945
157,0.5437,0.1118,0.5973,0.3794144897074965
158,0.4447,0.0834,0.6874,0.30082829986555454
159,0.5718,0.2521,0.3388,0.5504998555858122
160,0.6513,0.1769,0.4401,0.5009694860967083
161,0.5951,0.1393,0.5822,0.4048809318799787
162,0.6615,0.1897,0.2872,0.5935943033756305
163,0.68,0.1902,0.3858,0.5403273378240269
164,0.5043,0.1027,0.659,0.3349154893402214
165,0.5306,0.1202,0.6174,0.36583201609481913
166,0.5537,0.1247,0.4973,0.43856061154645426
167,0.4291,0.1176,0.686,0.3004534739356494
168,0.6265,0.1549,0.5576,0.42843614810144115
169,0.7117,0.2287,0.1762,0.675512919935659
170,0.6047,0.1529,0.3808,0.5213926169404396
171,0.5521,0.1212,0.5306,0.41897242630034737
172,0.6566,0.1865,0.4093,0.5206943748495848
173,0.6733,0.1869,0.2605,0.6120262951867347
174,0.4457,0.0892,0.6807,0.30511134852705823
175,0.5665,0.1426,0.5138,0.4341429465049501
176,0.6197,0.1313,0.5821,0.4114580537551793
177,0.6037,0.1299,0.6047,0.3950746587671753
178,0.5964,0.1304,0.5989,0.395828807693427
179,0.5384,0.1239,0.5732,0.3919941262315036
180,0.4809,0.1032,0.6803,0.31709947808219424
181,0.6521,0.2272,0.2534,0.6158235250459339
182,0.5474,0.1158,0.6003,0.37925227619620167
183,0.5578,0.1958,0.3469,0.535723123450911
184,0.6648,0.1918,0.2765,0.600960984590514
185,0.6107,0.1345,0.5698,0.4153961879940643
186,0.5894,0.1419,0.4615,0.4695852212325256
187,0.6306,0.1514,0.4201,0.50452934998868
188,0.6488,0.2172,0.3706,0.5444384446381427
189,0.7106,0.2052,0.1765,0.6728288853787417
190,0.5894,0.1791,0.5835,0.40723167853201203
191,0.6426,0.1368,0.5112,0.45570159534502397
192,0.6474,0.1572,0.379,0.5329722356746175
193,0.6153,0.1375,0.4948,0.45716978574704603
194,0.5852,0.1996,0.425,0.49573819300110417
195,0.6774,0.1722,0.2861,0.5962353637616608
196,0.3795,0.0688,0.7254,0.2606274390773159
197,0.5387,0.1228,0.5909,0.3824197889754138
198,0.597,0.1652,0.3837,0.5190201893953645
199,0.4229,0.0716,0.721,0.27609300969057515
200,0.7396,0.241,0.258,0.634119808868955
201,0.6774,0.1788,0.2891,0.5950246961261355
202,0.6903,0.2036,0.2513,0.6229081400977193
203,0.6958,0.1791,0.2658,0.6131683219149534
204,0.6282,0.1343,0.5303,0.4411882138044941
205,0.718,0.167,0.3185,0.5862530383716573
206,0.6984,0.1683,0.3588,0.5582281782568845
207,0.5811,0.1254,0.6111,0.3845446593050019
208,0.6025,0.1367,0.5332,0.43261811913048676
209,0.5485,0.1398,0.6034,0.3803675091276856
210,0.6108,0.1277,0.5809,0.4090598000292867
211,0.6239,0.2209,0.5047,0.46384300145631174
212,0.6193,0.1285,0.5765,0.4139278898552259
213,0.3088,0.3395,0.7516,0.29069028707543704
214,0.5798,0.1509,0.3798,0.5161287349101966
215,0.6844,0.1806,0.2706,0.607846822809826
216,0.4579,0.0842,0.706,0.2954308277753018
217,0.7271,0.2081,0.3209,0.5910287387259607
218,0.6975,0.1639,0.3621,0.5557143312890176
219,0.6675,0.1804,0.3042,0.5839035177150417
220,0.6217,0.1958,0.4398,0.495696973966959
221,0.6158,0.1444,0.4324,0.49313508899691977
222,0.6359,0.1529,0.3955,0.5201897826755155
223,0.6819,0.159,0.38,0.5410931731227072
224,0.6709,0.1516,0.3885,0.5328060200485726
225,0.6536,0.138,0.5556,0.4357722708020785
226,0.6099,0.1353,0.4809,0.463270799856844
227,0.4775,0.1171,0.5352,0.3971580201884384
228,0.4951,0.1089,0.5895,0.36991578771390654
229,0.4429,0.0858,0.6979,0.2950809702437621
230,0.6014,0.1256,0.5936,0.3995616097675051
231,0.6312,0.131,0.5642,0.4240186410996573
232,0.6266,0.1275,0.5732,0.4177098358908969
233,0.6299,0.1361,0.5319,0.4409881744446216
234,0.6205,0.1382,0.5384,0.4350529875773755
235,0.6431,0.2059,0.2082,0.6394588219737062
236,0.7047,0.1732,0.328,0.5780241257940709
237,0.6033,0.1674,0.3527,0.5391656990202548
238,0.7021,0.1657,0.3343,0.5730655058542609
239,0.5461,0.1243,0.5166,0.4255795683535572
240,0.4814,0.1131,0.5709,0.377160549368568
241,0.463,0.08,0.6639,0.31823796913630525
242,0.6006,0.1248,0.5865,0.4028743091833978
243,0.5251,0.118,0.6409,0.351851683241675
244,0.6791,0.2494,0.1267,0.7015852870464147
245,0.6823,0.1854,0.277,0.603972769253714
246,0.6569,0.1679,0.3289,0.5656396821298874
247,0.541,0.1235,0.5694,0.39474049070243605
248,0.7283,0.2072,0.3203,0.5915739810032216
249,0.5963,0.1503,0.5305,0.4337129119590516
250,0.6807,0.1695,0.3059,0.5849589541155857
251,0.6147,0.1297,0.4866,0.4608770172182597
252,0.6468,0.2347,0.2027,0.6465592934913239
253,0.5313,0.1215,0.6098,0.37015217546301143
254,0.6304,0.1754,0.4134,0.5106468055319645
255,0.5422,0.1267,0.5587,0.4012292112994766
256,0.5219,0.112,0.5292,0.41117568264672466
257,0.5883,0.1222,0.5548,0.41569309592534737
258,0.5546,0.1528,0.5172,0.4301958902639587
259,0.5318,0.1344,0.4749,0.4470416770279926
260,0.6608,0.1815,0.3521,0.554167130024869
261,0.5262,0.1186,0.6405,0.35244460699519864
262,0.5328,0.1196,0.6191,0.3655254040419079
263,0.6194,0.1549,0.4498,0.4850664851337392
264,0.6852,0.1965,0.2129,0.644396374912212
265,0.6527,0.1417,0.4288,0.5043429834943676
